concept:person:paavo_nurmi001	concept:personhasethnicity	concept:ethnicgroup:finnish
concept:person:zacarias_moussaoui	concept:personhasethnicity	concept:ethnicgroup:french
concept:person:carla_del_ponte	concept:personhasethnicity	concept:ethnicgroup:swiss
concept:ceo:richard_nolte	concept:personhasethnicity	concept:ethnicgroup:american
concept:politicianus:richard_perle	concept:personhasethnicity	concept:ethnicgroup:israeli
concept:personcanada:masi_oka	concept:personhasethnicity	concept:ethnicgroup:japanese_american
concept:politicianus:barbara_boxer	concept:personhasethnicity	concept:ethnicgroup:american
concept:person:murat_kurnaz	concept:personhasethnicity	concept:ethnicgroup:turkish
concept:person:abudl_karim_al_khawinay	concept:personhasethnicity	concept:ethnicgroup:yemeni
concept:person:ospel	concept:personhasethnicity	concept:ethnicgroup:swiss
